class_name,spec_name,level,score,duration_min,dungeon_name,medal
Hunter,BeastMastery,8,290.0,14.99,"Ara-Kara, City of Echoes",gold
Mage,Frost,8,290.0,14.99,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,14.99,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,14.99,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,14.99,"Ara-Kara, City of Echoes",gold
Mage,Frost,8,290.0,17.16,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,17.16,"Ara-Kara, City of Echoes",gold
Druid,Restoration,8,290.0,17.16,"Ara-Kara, City of Echoes",gold
Druid,Guardian,8,290.0,17.16,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,17.16,"Ara-Kara, City of Echoes",gold
Warrior,Protection,8,290.0,17.67,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,8,290.0,17.67,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,8,290.0,17.67,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,17.67,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,8,290.0,17.67,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,17.74,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,17.74,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,17.74,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,8,290.0,17.74,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,17.74,"Ara-Kara, City of Echoes",gold
Druid,Restoration,8,290.0,17.59,"Ara-Kara, City of Echoes",gold
Shaman,Elemental,8,290.0,17.59,"Ara-Kara, City of Echoes",gold
DeathKnight,Unholy,8,290.0,17.59,"Ara-Kara, City of Echoes",gold
DeathKnight,Blood,8,290.0,17.59,"Ara-Kara, City of Echoes",gold
Mage,Arcane,8,290.0,17.59,"Ara-Kara, City of Echoes",gold
Priest,Holy,8,290.0,16.94,"Ara-Kara, City of Echoes",gold
Mage,Frost,8,290.0,16.94,"Ara-Kara, City of Echoes",gold
DeathKnight,Unholy,8,290.0,16.94,"Ara-Kara, City of Echoes",gold
Paladin,Retribution,8,290.0,16.94,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,16.94,"Ara-Kara, City of Echoes",gold
DemonHunter,Havoc,8,290.0,17.68,"Ara-Kara, City of Echoes",gold
Shaman,Restoration,8,290.0,17.68,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,17.68,"Ara-Kara, City of Echoes",gold
Shaman,Elemental,8,290.0,17.68,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,17.68,"Ara-Kara, City of Echoes",gold
Warlock,Demonology,8,290.0,17.7,"Ara-Kara, City of Echoes",gold
Paladin,Holy,8,290.0,17.7,"Ara-Kara, City of Echoes",gold
Shaman,Elemental,8,290.0,17.7,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,17.7,"Ara-Kara, City of Echoes",gold
Druid,Balance,8,290.0,17.7,"Ara-Kara, City of Echoes",gold
Monk,Mistweaver,8,290.0,16.75,"Ara-Kara, City of Echoes",gold
Warrior,Fury,8,290.0,16.75,"Ara-Kara, City of Echoes",gold
Shaman,Enhancement,8,290.0,16.75,"Ara-Kara, City of Echoes",gold
Paladin,Protection,8,290.0,16.75,"Ara-Kara, City of Echoes",gold
Druid,Restoration,8,290.0,17.05,"Ara-Kara, City of Echoes",gold
DeathKnight,Frost,8,290.0,17.05,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,17.05,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,17.05,"Ara-Kara, City of Echoes",gold
Warrior,Protection,8,290.0,17.05,"Ara-Kara, City of Echoes",gold
Hunter,BeastMastery,8,290.0,16.01,"Ara-Kara, City of Echoes",gold
Monk,Brewmaster,8,290.0,16.01,"Ara-Kara, City of Echoes",gold
