name,class_name,spec_name,amount,level,duration,startTime,report,server,bracketData,faction,affixes,medal,score,leaderboard,guild,hidden,dungeon_name
宝可夢大师,Hunter,BeastMastery,-159999710.0,8,899190,1760855019810,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 826, 'name': '血色十字军', 'region': 'CN'}",8,1,"[10, 162]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
爱看卡通片,Mage,Frost,-159999710.0,8,899190,1760855019810,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 569, 'name': '伊森利恩', 'region': 'CN'}",8,1,"[10, 162]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
无敌炖鸡,Paladin,Protection,-159999710.0,8,899190,1760855019810,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 676, 'name': '影之哀伤', 'region': 'CN'}",8,1,"[10, 162]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
拉法尔丶圣光,Paladin,Retribution,-159999710.0,8,899190,1760855019810,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 832, 'name': '贫瘠之地', 'region': 'CN'}",8,1,"[10, 162]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
小糖猫,Paladin,Retribution,-159999710.0,8,899190,1760855019810,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 710, 'name': '末日行者', 'region': 'CN'}",8,0,"[10, 162]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
伊宝爱吃鱼,Mage,Frost,-159999710.0,8,1029844,1769003795729,"{'code': 'wgfJ2yp3DbVMdahY', 'fightID': 4, 'startTime': 1768998531144}","{'id': 750, 'name': '燃烧之刃', 'region': 'CN'}",8,0,"[9, 158]",gold,290.0,0,,,"Ara-Kara, City of Echoes"
阿鲁迪巴丷,Warrior,Fury,-159999710.0,8,1029844,1769003795729,"{'code': 'wgfJ2yp3DbVMdahY', 'fightID': 4, 'startTime': 1768998531144}","{'id': 770, 'name': '白银之手', 'region': 'CN'}",8,1,"[9, 158]",gold,290.0,0,,,"Ara-Kara, City of Echoes"
猫爪灬噗哈哈,Druid,Restoration,-159999710.0,8,1029844,1769003795729,"{'code': 'wgfJ2yp3DbVMdahY', 'fightID': 4, 'startTime': 1768998531144}","{'id': 713, 'name': '格瑞姆巴托', 'region': 'CN'}",8,1,"[9, 158]",gold,290.0,0,,,"Ara-Kara, City of Echoes"
冷哥依然很冷,Druid,Guardian,-159999710.0,8,1029844,1769003795729,"{'code': 'wgfJ2yp3DbVMdahY', 'fightID': 4, 'startTime': 1768998531144}","{'id': 770, 'name': '白银之手', 'region': 'CN'}",8,0,"[9, 158]",gold,290.0,0,,,"Ara-Kara, City of Echoes"
Wo,Paladin,Retribution,-159999710.0,8,1029844,1769003795729,"{'code': 'wgfJ2yp3DbVMdahY', 'fightID': 4, 'startTime': 1768998531144}","{'id': 697, 'name': '无尽之海', 'region': 'CN'}",8,1,"[9, 158]",gold,290.0,0,,,"Ara-Kara, City of Echoes"
铁骨豆腐腰,Warrior,Protection,-159999710.0,8,1059984,1764375110016,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 837, 'name': '达尔坎', 'region': 'CN'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
古尔瘫,Warlock,Demonology,-159999710.0,8,1059984,1764375110016,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 604, 'name': '古尔丹', 'region': 'CN'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
奶死你得了,Shaman,Restoration,-159999710.0,8,1059984,1764375110016,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 655, 'name': '安苏', 'region': 'CN'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
吃西瓜的熊猫,Warrior,Fury,-159999710.0,8,1059984,1764375110016,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 790, 'name': '罗宁', 'region': 'CN'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
秒倒的小炎,DeathKnight,Frost,-159999710.0,8,1059984,1764375110016,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 633, 'name': '天空之墙', 'region': 'CN'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Cormuaythai,Paladin,Retribution,-159999710.0,8,1064360,1768736642640,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 370, 'name': 'Hyjal', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 147962, 'name': 'La Rose Pourpre', 'faction': 0}",,"Ara-Kara, City of Echoes"
Gefina,Paladin,Retribution,-159999710.0,8,1064360,1768736642640,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 340, 'name': 'Tarren Mill', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 727329, 'name': 'Nox Venari', 'faction': 0}",,"Ara-Kara, City of Echoes"
Yoroi,Paladin,Protection,-159999710.0,8,1064360,1768736642640,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 304, 'name': 'Kazzak', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 790707, 'name': 'Bloodbound', 'faction': 1}",,"Ara-Kara, City of Echoes"
Ðyxn,Shaman,Restoration,-159999710.0,8,1064360,1768736642640,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 427, 'name': 'Eredar', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Moomilkman,Warrior,Fury,-159999710.0,8,1064360,1768736642640,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 350, 'name': 'Twisting Nether', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 253952, 'name': 'The Prospect', 'faction': 1}",,"Ara-Kara, City of Echoes"
Eurá,Druid,Restoration,-159999710.0,8,1055159,1768843653841,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 406, 'name': 'Blackhand', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 319544, 'name': 'Dagor', 'faction': 0}",,"Ara-Kara, City of Echoes"
Escxx,Shaman,Elemental,-159999710.0,8,1055159,1768843653841,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 427, 'name': 'Eredar', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Kevbosbro,DeathKnight,Unholy,-159999710.0,8,1055159,1768843653841,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 399, 'name': 'Antonidas', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Mysticana,DeathKnight,Blood,-159999710.0,8,1055159,1768843653841,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 338, 'name': 'Sylvanas', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Minugi,Mage,Arcane,-159999710.0,8,1055159,1768843653841,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 406, 'name': 'Blackhand', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 319544, 'name': 'Dagor', 'faction': 0}",,"Ara-Kara, City of Echoes"
Ариаднаа,Priest,Holy,-159999710.0,8,1016581,1768883255419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 502, 'name': 'Ясеневый лес', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 243365, 'name': 'Тихий Мурлок', 'faction': 1}",,"Ara-Kara, City of Echoes"
Nibs,Mage,Frost,-159999710.0,8,1016581,1768883255419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 449, 'name': 'Mannoroth', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Круел,DeathKnight,Unholy,-159999710.0,8,1016581,1768883255419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 488, 'name': 'Гордунни', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Эмансипация,Paladin,Retribution,-159999710.0,8,1016581,1768883255419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 495, 'name': 'Ревущий фьорд', 'region': 'EU'}",8,1,"[10, 160]",gold,290.0,1,"{'id': 511648, 'name': 'Пушистый легион', 'faction': 1}",,"Ara-Kara, City of Echoes"
Диорон,Paladin,Protection,-159999710.0,8,1016581,1768883255419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 488, 'name': 'Гордунни', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,,,"Ara-Kara, City of Echoes"
Álexdh,DemonHunter,Havoc,-159999710.0,8,1060668,1768732725332,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 329, 'name': 'Silvermoon', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 348413, 'name': 'Nowhere Fast', 'faction': 0}",,"Ara-Kara, City of Echoes"
Shamnerin,Shaman,Restoration,-159999710.0,8,1060668,1768732725332,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 329, 'name': 'Silvermoon', 'region': 'EU'}",8,0,"[10, 160]",gold,290.0,1,"{'id': 462071, 'name': 'Second Wind', 'faction': 0}",,"Ara-Kara, City of Echoes"
