name,class_name,spec_name,amount,level,duration,startTime,report,server,bracketData,faction,affixes,medal,score,leaderboard,guild,hidden,dungeon_name
Mystwa,Priest,Discipline,-219999650,11,987942,1768938934425,"{'code': 'YMWtaN9rwQFhxdnm', 'fightID': 8, 'startTime': 1768929118184}","{'id': 392, 'name': 'Ysondre', 'region': 'EU'}",11,0,"[9, 10, 158]",gold,350,0,,,"Ara-Kara, City of Echoes"
Cherpalo,Hunter,BeastMastery,-219999650,11,987942,1768938934425,"{'code': 'YMWtaN9rwQFhxdnm', 'fightID': 8, 'startTime': 1768929118184}","{'id': 304, 'name': 'Kazzak', 'region': 'EU'}",11,0,"[9, 10, 158]",gold,350,0,"{'id': 696024, 'name': 'Прок Гейминг', 'faction': 1}",,"Ara-Kara, City of Echoes"
Kateclap,Warrior,Protection,-219999650,11,987942,1768938934425,"{'code': 'YMWtaN9rwQFhxdnm', 'fightID': 8, 'startTime': 1768929118184}","{'id': 340, 'name': 'Tarren Mill', 'region': 'EU'}",11,0,"[9, 10, 158]",gold,350,0,"{'id': 4287, 'name': 'Goblins', 'faction': 1}",,"Ara-Kara, City of Echoes"
Martyolo,DemonHunter,Havoc,-219999650,11,987942,1768938934425,"{'code': 'YMWtaN9rwQFhxdnm', 'fightID': 8, 'startTime': 1768929118184}","{'id': 283, 'name': 'Draenor', 'region': 'EU'}",11,0,"[9, 10, 158]",gold,350,0,,,"Ara-Kara, City of Echoes"
Ремак,Warrior,Fury,-219999650,11,987942,1768938934425,"{'code': 'YMWtaN9rwQFhxdnm', 'fightID': 8, 'startTime': 1768929118184}","{'id': 488, 'name': 'Гордунни', 'region': 'EU'}",11,0,"[9, 10, 158]",gold,350,0,,,"Ara-Kara, City of Echoes"
袁肥肥,DemonHunter,Havoc,-219999650,11,1035257,1765533444743,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 886, 'name': '风行者', 'region': 'CN'}",11,1,"[9, 10, 162]",gold,350,1,,,"Ara-Kara, City of Echoes"
我怎么是武僧,Monk,Mistweaver,-219999650,11,1035257,1765533444743,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 733, 'name': '海加尔', 'region': 'CN'}",11,1,"[9, 10, 162]",gold,350,1,,,"Ara-Kara, City of Echoes"
大领主丶安娜,Paladin,Retribution,-219999650,11,1035257,1765533444743,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 770, 'name': '白银之手', 'region': 'CN'}",11,0,"[9, 10, 162]",gold,350,1,,,"Ara-Kara, City of Echoes"
人生十二个数,Paladin,Protection,-219999650,11,1035257,1765533444743,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 832, 'name': '贫瘠之地', 'region': 'CN'}",11,0,"[9, 10, 162]",gold,350,1,,,"Ara-Kara, City of Echoes"
碰瓷的脚,DeathKnight,Frost,-219999650,11,1035257,1765533444743,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 568, 'name': '伊利丹', 'region': 'CN'}",11,0,"[9, 10, 162]",gold,350,1,,,"Ara-Kara, City of Echoes"
