name,class_name,spec_name,amount,level,duration,startTime,report,server,bracketData,faction,affixes,medal,score,leaderboard,guild,hidden,dungeon_name
금빛수호자,Priest,Shadow,-239999620,12,1068948,1769013916052,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 526, 'name': '아즈샤라', 'region': 'KR'}",12,1,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
你画的娃娃脸,Druid,Restoration,-239999620,12,961581,1762877581419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 790, 'name': '罗宁', 'region': 'CN'}",12,0,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
艾雷利娅,Hunter,BeastMastery,-239999620,12,961581,1762877581419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 790, 'name': '罗宁', 'region': 'CN'}",12,0,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
骁骑哪吒,Paladin,Protection,-239999620,12,961581,1762877581419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 750, 'name': '燃烧之刃', 'region': 'CN'}",12,1,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
一万多个迪剋,DeathKnight,Frost,-239999620,12,961581,1762877581419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 871, 'name': '阿纳克洛斯', 'region': 'CN'}",12,1,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
美八,DemonHunter,Havoc,-239999620,12,961581,1762877581419,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 610, 'name': '回音山', 'region': 'CN'}",12,1,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
大波莲丶,Priest,Discipline,-239999620,12,1060894,1766093357106,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 880, 'name': '霜之哀伤', 'region': 'CN'}",12,0,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
小飞棍来鸟丶,Mage,Arcane,-239999620,12,1060894,1766093357106,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 770, 'name': '白银之手', 'region': 'CN'}",12,0,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
被打断层,Hunter,BeastMastery,-239999620,12,1060894,1766093357106,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 871, 'name': '阿纳克洛斯', 'region': 'CN'}",12,0,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
欺骗圣光,Paladin,Protection,-239999620,12,1060894,1766093357106,"{'code': '', 'fightID': None, 'startTime': None}","{'id': 790, 'name': '罗宁', 'region': 'CN'}",12,0,"[9, 10, 147]",gold,380,1,,,"Ara-Kara, City of Echoes"
